Time / s,Power / W
773,26143.73932285714
774,24114.57200782797
775,26691.89751566311
776,24080.631463460686
777,19776.71261438567
778,18524.050702048564
779,17123.00433483844
780,14648.060506361
781,12400.988756365725
782,10436.47454488643
783,8818.803244791685
784,8446.140415637874
785,10284.442005791809
786,10893.06089482121
787,8332.165406340473
788,6113.232834936057
789,6113.2328349361205
790,7475.95412397122
791,8434.700129050902
792,5327.92129629626
793,-5533.751240359699
794,-20319.247617610174
795,-31638.377210198047
796,-34838.871922325125
797,-29334.07121589459
798,-18568.42484073264
799,-7425.044288001541
800,-196.32157561728374
801,4616.584348996445
802,12527.545169736431
803,22282.807946051948
804,25604.900053802754
805,18869.352846155325
806,9651.416830177857
807,3178.2497166018807
808,-2277.852245691882
809,-6153.573398726841
810,-9783.47246316062
811,-16252.994574588474
812,-20211.991366195594
813,-19842.379301628473
814,-18817.869457364064
815,-17847.23791827894
816,-15157.789994067698
817,-11311.767210583846
818,-5124.979938271603
819,867.7007625552508
820,6356.501543209874
821,11105.566606443379
822,12394.717686937967
823,13028.222875578704
824,12528.287488035363
825,11654.084812242801
826,11959.330417245374
827,11925.536135647668
828,13885.96869793333
829,17124.666078703704
830,17684.346745922878
831,14884.460096905494
832,9502.045426118848
833,6647.105874352235
834,7071.279614909579
835,7184.447302623914
836,6596.356559156398
837,7355.996540599764
838,9236.479134318777
839,9442.816955627957
840,9244.781499164095
841,11254.036609798908
842,13065.95775254584
843,11891.712129174766
844,8620.423243467534
845,6346.094318549002
846,5989.150141460929
847,7198.858376924262
848,10457.551601577981
849,14323.6427290976
850,14755.079248525852
851,11714.589998816406
852,10177.745195447038
853,10318.366754046147
854,9597.371669469689
855,7516.334108989198
856,6230.899269337768
857,10167.720832321205
858,15710.667751736099
859,16127.46675424858
860,13245.021658131423
861,15261.861413446886
862,23718.69859838434
863,23741.877878665124
864,15328.4494041281
865,12486.02808474322
866,16170.794141498998
867,20647.492296162905
868,18051.387136107303
869,10376.258627705382
870,5629.966555748503
871,4008.6215324073964
872,3426.2782244894242
873,2332.9289572664243
874,-311.36349352232645
875,-3437.635215937421
876,-5989.8732023058055
877,-4536.603371768293
878,268.5213302850327
879,4552.659941319896
880,1672.0015051059306
881,-3170.5733667695467
882,1455.5922877610133
883,6119.515470202715
884,6585.907788446858
885,8005.1555400591815
886,8534.724234567904
887,7635.553772500369
888,5770.3861302083615
889,3387.589674366006
890,531.9045112525596
891,-2770.9854430035975
892,-5537.325454522937
893,-5971.451555555562
894,-4204.065345678993
895,-1203.4623574721825
896,2178.7665341435077
897,4280.7268442477225
898,4705.281028061172
899,3419.205643518526
900,1273.1133375128677
901,-2538.753647698032
902,-20992.28667521861
903,-34838.871922325125
904,-29334.07121589459
905,-18568.42484073264
906,-7425.044288001541
907,-196.32157561728374
908,4616.584348996445
909,12527.545169736431
910,22282.807946051948
911,25604.900053802754
912,18869.352846155325
913,13265.95729657018
914,19956.800925925916
915,20454.170717592602
916,13343.66661425708
917,8386.472491388504
918,4298.968123666357
919,6744.62481539352
920,10488.476093047453
921,16539.31475914732
922,19718.915450891152
923,17711.646262924372
924,6525.755899498438
925,-5079.62761027993
926,-3778.5725362011053
927,-808.3358672458696
928,414.56746466096496
929,1638.201084812256
930,2015.9951432351404
931,1986.4117488378206
932,1537.2704528082436
933,-128.09026388887105
934,-2989.5139391670414
935,-3393.7552586424504
936,-1451.845874276024
937,65.90092973631596
938,418.16905381944514
939,9.868338953660528
940,723.9032293857705
941,2559.3694607172174
942,3290.134259259249
943,3648.500186916529
944,4387.869185544797
945,5141.986111111127
946,7773.764144242495
947,10195.05352413883
948,8856.92374537038
949,5473.901484015412
950,71.66934921553036
951,-8676.70662026796
952,-20349.2690408784
953,-28504.83931519586
954,-28527.352550480588
955,-25164.979356481483
956,-21745.361950291015
957,-12306.704963267788
958,-707.7998837281842
959,8907.194654016155
960,18928.017341966264
961,28389.931897595638
962,32198.479389269924
963,29749.976628279324
964,22923.355007335023
965,14539.340156233335
966,7725.402865543083
967,3806.8513472222235
968,2007.981740714545
969,-508.88986661475894
970,-5076.963938383535
971,-13418.842251028806
972,-23981.56396469908
973,-26948.96953073084
974,-23558.594276260766
975,-20114.760802469136
976,-16794.905565131554
977,-10516.886667283474
978,-5882.186252095719
979,-4138.221139917695
980,-2699.717891615702
981,-1680.0484523700652
982,-1277.4758518518522
983,-1240.9769355019243
984,-810.3897918000306
985,-188.12576335781515
986,-0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,236.29102027130014
1028,2100.745148148148
1029,6910.677623666361
1030,12150.890495751408
1031,14483.844688309706
1032,15035.481315805517
1033,15686.97910442387
1034,16606.555001259814
1035,16244.041340401622
1036,14419.864019509228
1037,13104.808627040939
1038,13753.483434011103
1039,16313.693463953667
1040,18247.079008535275
1041,18301.745046944063
1042,15726.422032476472
1043,11245.717685249492
1044,7102.748908912509
1045,4966.917004115216
1046,4981.34825006908
1047,5374.493885609565
1048,3942.651150265299
1049,275.7284535108035
1050,-4789.998503488887
1051,-8543.638377250512
1052,-10649.294055174525
1053,-12790.403010866768
1054,-15748.626573559677
1055,-19019.258651808497
1056,-21540.481481481478
1057,-20572.384295841435
1058,-15520.75808072321
